Event,Date,White,Black,Result,BlackElo,WhiteElo,ECO
Rated Blitz game,2019.08.19,djorfchess20,Maerceci,1-0,1873,1939,C15
Rated Blitz game,2019.08.19,Maerceci,HiromiAsato,0-1,1790,1882,D93
Rated Blitz game,2019.08.19,benbb,Maerceci,1-0,1892,1720,C00
Rated Blitz game,2019.08.19,Maerceci,MMoraes2,1-0,1858,1886,D30
Rated Blitz game,2019.08.19,Maerceci,FWM_kendrickesban,0-1,1979,1891,E60
Rated Blitz game,2019.08.19,MarceticSRB,Maerceci,1-0,1898,1877,D00
Rated Blitz game,2019.08.19,rodnojo,Maerceci,1-0,1905,1930,C00
Rated Bullet game,2019.08.19,Stradivari2,Maerceci,0-1,1910,1879,C07
Rated Bullet game,2019.08.19,Maerceci,alpaydurul,1-0,1925,1902,D07
Rated Rapid game,2019.08.19,njunga,Maerceci,1-0,1803,1902,C00
Rated Rapid game,2019.08.19,Maerceci,Sanmisongz,1-0,1795,1765,A43
Rated Rapid game,2019.08.18,CJ216,Maerceci,0-1,1727,1719,C02
Rated Rapid game,2019.08.18,Maerceci,alex_tc6,0-1,1822,1762,D14
Rated Rapid game,2019.08.18,Maerceci,Gyisus,0-1,1778,1813,D30
Rated Rapid game,2019.08.18,Kameruni84,Maerceci,1-0,1853,1948,C01
Rated Rapid game,2019.08.18,Maerceci,FKasai,1-0,1795,1786,E10
Casual Rapid game,2019.08.18,Ru4eek,Maerceci,0-1,1786,1632,C15
Rated Rapid game,2019.08.17,Maerceci,lianki98,0-1,1810,1877,E12
Rated Rapid game,2019.08.16,carlosleiva,Maerceci,0-1,1793,1735,C08
Rated Bullet game,2019.08.16,Maerceci,fiisher,0-1,1926,1909,E11
Rated Bullet game,2019.08.16,kir_chess,Maerceci,0-1,1901,1902,E06
Rated Bullet game,2019.08.16,jhon_star,Maerceci,0-1,1894,1885,C02
Rated Bullet game,2019.08.16,Maerceci,jhon_star,1-0,1892,1887,D30
Rated Bullet game,2019.08.16,jhon_star,Maerceci,0-1,1880,1900,C02
Rated Bullet game,2019.08.16,Maerceci,jhon_star,1-0,1907,1872,D30
Rated Bullet game,2019.08.16,jhon_star,Maerceci,0-1,1864,1915,C02
Rated Bullet game,2019.08.16,Maerceci,jhon_star,0-1,1909,1870,D30
Rated Bullet game,2019.08.16,PiecesExterminator,Maerceci,0-1,1864,1789,D58
Rated Bullet game,2019.08.16,Maerceci,know_your_moves,0-1,1872,1871,A40
Rated Bullet game,2019.08.16,Maerceci,ghitik,0-1,1837,1879,A40
Rated Bullet game,2019.08.16,kir_chess,Maerceci,1-0,1885,1928,A11
Rated Bullet game,2019.08.16,Maerceci,natsirk,0-1,1872,1892,A40
Rated Bullet game,2019.08.16,beejaeger,Maerceci,1-0,1900,1875,D35
Rated Bullet game,2019.08.16,Maerceci,gaussdos,1-0,1768,1895,A40
Rated Bullet game,2019.08.16,iradjkamali,Maerceci,0-1,1888,1881,D01
Rated Bullet game,2019.08.16,Bakarelli,Maerceci,1-0,1895,1878,D05
Rated Bullet game,2019.08.16,Maerceci,Bakarelli,0-1,1870,1903,B06
Rated Bullet game,2019.08.16,Bakarelli,Maerceci,0-1,1896,1877,D05
Rated Bullet game,2019.08.16,Maerceci,Bakarelli,1-0,1884,1889,E21
Rated Bullet game,2019.08.16,Maerceci,IBattousaiI,1-0,1810,1884,D55
Rated Bullet game,2019.08.16,laperla,Maerceci,1-0,1889,1995,C10
Rated Bullet game,2019.08.16,Spiritualite,Maerceci,0-1,1884,1745,C00
Rated Bullet game,2019.08.16,Maerceci,tejasarora,1-0,1846,1878,A43
Rated Bullet game,2019.08.16,Sambozzy,Maerceci,0-1,1873,1748,A00
Rated Bullet game,2019.08.16,Maerceci,kadir2772,1-0,1898,1865,A40
Rated Bullet game,2019.08.16,Corwin777,Maerceci,0-1,1859,1803,D00
Hourly HyperBullet Arena,2019.08.15,Maerceci,Pandoro03,1-0,1700,1855,D11
Hourly HyperBullet Arena,2019.08.15,forekazik,Maerceci,1-0,1859,2006,D37
Hourly HyperBullet Arena,2019.08.15,kabirsihag12,Maerceci,0-1,1856,1654,C00
Hourly HyperBullet Arena,2019.08.15,Maerceci,KeithCar,1-0,1502,1854,A50
Hourly HyperBullet Arena,2019.08.15,Maerceci,Woywoy,1-0,1651,1850,D20
Hourly HyperBullet Arena,2019.08.15,Maerceci,matto-matto,1-0,1371,1849,D06
Hourly HyperBullet Arena,2019.08.15,Ageless1,Maerceci,1-0,1853,2008,C01
Hourly HyperBullet Arena,2019.08.15,Sehya,Maerceci,1-0,1861,1833,C03
Hourly HyperBullet Arena,2019.08.15,Maerceci,XeRo13g,0-1,2259,1862,A40
Hourly HyperBullet Arena,2019.08.15,bestCHESS1,Maerceci,1-0,1867,1981,A00
Hourly HyperBullet Arena,2019.08.15,Maerceci,Woywoy,1-0,1650,1864,A40
Hourly HyperBullet Arena,2019.08.15,milik999,Maerceci,0-1,1861,1605,A06
Hourly HyperBullet Arena,2019.08.15,Maerceci,MGKA,0-1,1838,1869,A40
Hourly HyperBullet Arena,2019.08.15,Hell-On-Earth,Maerceci,1-0,1875,1932,B01
Hourly HyperBullet Arena,2019.08.15,Maerceci,Facciamo_amore,1-0,1750,1870,A40
Hourly HyperBullet Arena,2019.08.15,torkmanchessmf,Maerceci,1-0,1872,2160,D00
Hourly HyperBullet Arena,2019.08.15,earlhines,Maerceci,1-0,1876,2020,C10
Hourly HyperBullet Arena,2019.08.15,Maerceci,cacheyourdreams,1-0,1849,1870,A40
Hourly HyperBullet Arena,2019.08.15,Maerceci,vociferous,1-0,1863,1862,A57
Hourly HyperBullet Arena,2019.08.15,madrol,Maerceci,1-0,1867,1991,D37
Hourly HyperBullet Arena,2019.08.15,john3956w,Maerceci,1-0,1868,2361,D00
Hourly HyperBullet Arena,2019.08.15,Maerceci,Hell-On-Earth,1-0,1942,1859,D07
Hourly HyperBullet Arena,2019.08.15,Maerceci,gasel,1-0,2079,1848,A60
Hourly HyperBullet Arena,2019.08.15,Maerceci,rating_donator37,1-0,1833,1841,A40
Hourly HyperBullet Arena,2019.08.15,splinck,Maerceci,0-1,1838,1621,A01
Hourly HyperBullet Arena,2019.08.15,Maerceci,gasel,0-1,2075,1840,A43
Hourly HyperBullet Arena,2019.08.15,Sehya,Maerceci,1-0,1848,1822,C03
Hourly HyperBullet Arena,2019.08.15,andresshare,Maerceci,0-1,1847,1303,C00
Rated Bullet game,2019.08.15,Maerceci,hipoterm,1-0,1806,1841,D37
Rated Bullet game,2019.08.15,Jecg,Maerceci,0-1,1835,1766,C00
Rated Bullet game,2019.08.15,Maerceci,srekanth99,1-0,1731,1830,D26
Rated Bullet game,2019.08.15,Tchelo,Maerceci,1-0,1838,1788,A01
Rated Bullet game,2019.08.15,Ahmed_7777,Maerceci,0-1,1832,1778,C00
Rated Bullet game,2019.08.15,Maerceci,Ahmed_7777,1-0,1784,1826,A40
Rated Bullet game,2019.08.15,Ahmed_7777,Maerceci,0-1,1819,1790,C00
Rated Bullet game,2019.08.15,Maerceci,Vinith_Kumar,0-1,1824,1826,B00
Rated Bullet game,2019.08.15,Maerceci,Remirax,0-1,1863,1833,E90
Rated Bullet game,2019.08.15,marshallrobertson,Maerceci,1-0,1839,1843,C01
Rated Bullet game,2019.08.15,tiors_91601,Maerceci,0-1,1833,1814,C00
Rated Bullet game,2019.08.15,Maerceci,CyrelSnear,1/2-1/2,1836,1833,A51
Rated Bullet game,2019.08.15,Shuay,Maerceci,0-1,1825,1830,C00
Rated Bullet game,2019.08.15,Maerceci,TierraDelFuego,1-0,1760,1820,E70
Rated Bullet game,2019.08.15,Maerceci,bertchess,1-0,1652,1815,A40
Rated Bullet game,2019.08.15,maeneser,Maerceci,1-0,1823,1817,C10
Rated Bullet game,2019.08.15,FelipeDJ69,Maerceci,0-1,1816,1771,C01
Rated Bullet game,2019.08.15,Maerceci,thebeauties,0-1,1817,1823,D08
Rated Bullet game,2019.08.15,dcarcan,Maerceci,0-1,1816,1837,A00
Rated Bullet game,2019.08.15,Maerceci,Ermin_Said_Lubis,0-1,1898,1821,E10
Rated Bullet game,2019.08.15,boragcrr,Maerceci,0-1,1816,1769,C01
Rated Bullet game,2019.08.15,Maerceci,CDHAAgenteS07palolo,0-1,1836,1823,D25
Rated Bullet game,2019.08.15,Maerceci,adekusara,0-1,1814,1830,A41
Rated Bullet game,2019.08.15,Maerceci,MeTheThird,1-0,1629,1826,D40
Rated Bullet game,2019.08.15,Asius,Maerceci,0-1,1818,1858,A00
Rated Bullet game,2019.08.15,Bankmaster,Maerceci,0-1,1812,1784,D00
Rated Bullet game,2019.08.15,Maerceci,kirollosmasood,1-0,1812,1805,A40
Rated Bullet game,2019.08.15,yardimci5452,Maerceci,1-0,1812,1787,D44
Rated Bullet game,2019.08.15,Bankmaster,Maerceci,0-1,1805,1801,A06
Rated Bullet game,2019.08.15,Maerceci,kirollosmasood,0-1,1803,1812,A40
Rated Bullet game,2019.08.15,Denisxadrez009,Maerceci,1-0,1820,1783,A10
Rated Bullet game,2019.08.15,Maerceci,G_M___MagnusCarlsen,0-1,1886,1826,A40
Rated Bullet game,2019.08.15,Maerceci,nico_vela,0-1,1779,1834,A40
Rated Bullet game,2019.08.15,Navritas,Maerceci,1-0,1841,1820,A06
Rated Bullet game,2019.08.15,Popeye12,Maerceci,0-1,1834,1836,A06
Rated Bullet game,2019.08.15,Maerceci,Remirax,0-1,1886,1840,A40
Rated Bullet game,2019.08.15,Nick121212,Maerceci,1-0,1848,1806,A11
Rated Bullet game,2019.08.15,mfabricio,Maerceci,1-0,1855,1851,A13
Rated Bullet game,2019.08.15,Maerceci,Popeye12,1-0,1845,1848,E61
Rated Bullet game,2019.08.15,Maerceci,dcarcan,1-0,1833,1841,D30
Rated Bullet game,2019.08.15,Maerceci,cannnxx,0-1,1842,1848,D30
Rated Bullet game,2019.08.15,meiyer,Maerceci,1-0,1855,1851,A06
Rated Bullet game,2019.08.15,Popeye12,Maerceci,0-1,1848,1851,C00
Rated Bullet game,2019.08.15,thelastfadly,Maerceci,0-1,1841,1833,C10
Rated Bullet game,2019.08.14,Maerceci,daranb,0-1,1877,1847,A43
Rated Bullet game,2019.08.14,Maerceci,Jaimeamovil,0-1,1894,1853,A53
Rated Bullet game,2019.08.14,BenSulsky,Maerceci,0-1,1847,1804,D53
Rated Bullet game,2019.08.14,nyyxhaim,Maerceci,0-1,1840,1832,C01
Rated Bullet game,2019.08.14,SupahSaiyan,Maerceci,0-1,1833,1819,B01
Rated Bullet game,2019.08.14,Maerceci,SupahSaiyan,1-0,1826,1826,A40
Rated Bullet game,2019.08.14,Maerceci,Eubage,1-0,1713,1821,D21
Rated Bullet game,2019.08.14,Maerceci,kirollosmasood,0-1,1793,1829,A40
Rated Bullet game,2019.08.14,MakamuNtsako,Maerceci,1-0,1836,1841,A00
Rated Bullet game,2019.08.14,Maerceci,bespinel,0-1,1901,1842,D20
Rated Bullet game,2019.08.14,marreekk,Maerceci,1-0,1851,1734,D35
Rated Bullet game,2019.08.14,epper,Maerceci,1-0,1857,1893,D05
Rated Bullet game,2019.08.14,Maerceci,Zuain2018,1-0,1822,1851,A43
Rated Bullet game,2019.08.14,LateKnightChess,Maerceci,0-1,1844,1816,C00
Rated Bullet game,2019.08.14,Maerceci,Treeboy,0-1,1823,1852,E60
Rated Bullet game,2019.08.14,Maerceci,YoutubeZelda,0-1,1797,1860,D06
Rated Bullet game,2019.08.14,PawnKing007,Maerceci,1-0,1867,1843,C00
Rated Bullet game,2019.08.14,skyfolk,Maerceci,1-0,1875,1870,D35
Rated Bullet game,2019.08.14,vigan20,Maerceci,1/2-1/2,1876,1841,D00
Rated Bullet game,2019.08.14,Maerceci,merdy,0-1,1883,1883,A40
Rated Bullet game,2019.08.14,Maerceci,mostar,1-0,1775,1878,D11
Rated Bullet game,2019.08.14,mostar,Maerceci,0-1,1871,1780,C00
Rated Bullet game,2019.08.14,Maerceci,ChillAndCalm,0-1,1865,1880,D30
Rated Bullet game,2019.08.14,Maerceci,beroco40,0-1,2019,1885,A40
Rated Bullet game,2019.08.14,Maerceci,NOTFAIRBM,0-1,1966,1892,D43
Rated Bullet game,2019.08.14,e77cw,Maerceci,0-1,1886,1772,D53
Rated Bullet game,2019.08.14,LoboP,Maerceci,1-0,1896,1858,D30
Rated Bullet game,2019.08.14,coyotekarl,Maerceci,0-1,1881,2091,A00
Rated Bullet game,2019.08.14,Maerceci,Pusitunga,1-0,1860,1872,D30
Rated Bullet game,2019.08.14,Amadkour,Maerceci,1-0,1881,1896,D30
Rated Bullet game,2019.08.14,Maerceci,keseroglu,0-1,1898,1891,E61
Rated Bullet game,2019.08.14,Maerceci,Amadkour,0-1,1895,1901,D43
Rated Bullet game,2019.08.14,Maerceci,JohnMiguel,0-1,1993,1909,A41
Rated Blitz game,2019.08.14,Sksilas,Maerceci,0-1,1897,1926,C00
Rated Correspondence game,2019.08.14,lanties0996,Maerceci,1-0,1949,1734,D01
Rated Blitz game,2019.08.14,Maerceci,pijuan,1-0,1932,1889,E60
Rated Blitz game,2019.08.14,IZELMAN,Maerceci,0-1,1879,1992,D02
Rated Blitz game,2019.08.14,Maerceci,FrPoisson,1-0,1638,1876,E21
Rated Blitz game,2019.08.14,Maerceci,dvml,1-0,1757,1870,E60
Rated Blitz game,2019.08.14,Maerceci,bilemiyorum,1-0,1793,1864,A44
Rated Blitz game,2019.08.14,Adand,Maerceci,1-0,1874,1790,D00
Rated Blitz game,2019.08.14,kouroshkhosravi1224,Maerceci,0-1,1866,1818,C01
Rated Blitz game,2019.08.14,Maerceci,mg1,0-1,1909,1874,D30
Rated Blitz game,2019.08.14,Maerceci,bonobotimes,0-1,1767,1885,E60
Rated Blitz game,2019.08.13,T-A-C-T-I-C-S,Maerceci,0-1,1876,1906,B01
Rated Blitz game,2019.08.13,summaryjudgment,Maerceci,0-1,1866,1886,C18
Rated Blitz game,2019.08.13,Maerceci,amer1010,1-0,1849,1857,A43
Rated Blitz game,2019.08.12,chesslife2018,Maerceci,1-0,1869,1733,C01
Rated Blitz game,2019.08.12,CJ-NYC,Maerceci,0-1,1859,1889,C01
Rated Blitz game,2019.08.10,Maerceci,blitzplayer2003,0-1,1889,1868,E10
Rated Blitz game,2019.08.10,Spo1506,Maerceci,0-1,1857,1869,A11
Rated Blitz game,2019.08.10,Capitan-Meliodas,Maerceci,0-1,1846,1864,C00
Rated Blitz game,2019.08.09,Maerceci,OZ-1,1-0,1885,1835,A84
Rated Blitz game,2019.08.09,WhatIdeserve,Maerceci,1-0,1845,1848,C00
Rated Blitz game,2019.08.09,Mitasmechera_12,Maerceci,0-1,1835,1809,C00
Rated Blitz game,2019.08.09,Maerceci,DmazVdie,1-0,1796,1826,A43
Rated Blitz game,2019.08.09,stack-at0,Maerceci,1-0,1835,1856,A03
Rated Blitz game,2019.08.09,Niza_aizya70,Maerceci,1-0,1846,1823,D00
Rated Blitz game,2019.08.09,Maerceci,mhalawa,0-1,1608,1862,D06
Rated Blitz game,2019.08.09,Maerceci,elboty,0-1,1894,1871,A40
Rated Blitz game,2019.08.09,Gregorio_Samsa,Maerceci,0-1,1861,1853,D53
Rated Blitz game,2019.08.09,Sk_krpmu,Maerceci,0-1,1852,1816,D00
Rated Blitz game,2019.08.09,Maerceci,malelo,0-1,1801,1864,A84
Rated Blitz game,2019.08.09,MisingNumber,Maerceci,1-0,1872,1944,D55
Rated Blitz game,2019.08.09,brasilwolf,Maerceci,1-0,1880,1927,D02
Rated Blitz game,2019.08.09,Maerceci,Morningstar007,1-0,1778,1873,A43
Rated Blitz game,2019.08.08,Maerceci,nofreecookies,1-0,1876,1862,D11
Rated Blitz game,2019.08.08,Maerceci,Ballsark,1/2-1/2,1868,1862,D55
Rated Blitz game,2019.08.08,girl1996,Maerceci,1-0,1872,1873,C17
Rated Blitz game,2019.08.08,Maerceci,SergioPolo24,1-0,1830,1863,A40
Rated Blitz game,2019.08.08,etica99,Maerceci,0-1,1853,1855,D44
Rated Blitz game,2019.08.08,Maerceci,AnGol,1-0,1824,1844,D30
Rated Blitz game,2019.08.08,mansooo0r,Maerceci,1-0,1854,1837,C02
Rated Blitz game,2019.08.08,geremia828,Maerceci,0-1,1844,1825,C00
Rated Blitz game,2019.08.08,free_blocka,Maerceci,0-1,1833,1845,A11
Rated Blitz game,2019.08.08,Maerceci,Gonzaelchino,1-0,1795,1822,A40
Rated Bullet game,2019.08.08,Maerceci,homme-fatal,1-0,1962,1897,A43
Rated Bullet game,2019.08.08,burden_OF_GRIEF,Maerceci,0-1,1886,1935,D05
Rated Bullet game,2019.08.08,gwaltig,Maerceci,0-1,1874,1930,C01
Rated Bullet game,2019.08.08,arieleo,Maerceci,0-1,1863,1898,C15
Rated Bullet game,2019.08.08,Maerceci,GuillaumeB06,1-0,1836,1853,A40
Rated Bullet game,2019.08.08,Maerceci,ChillAndCalm,0-1,1844,1864,D06
Rated Bullet game,2019.08.08,jwilliamarchitect,Maerceci,0-1,1854,1829,D00
Rated Bullet game,2019.08.08,Maerceci,batschka,1-0,1835,1844,A84
Rated Bullet game,2019.08.08,Maerceci,balutsky,1-0,1849,1834,A40
Rated Bullet game,2019.08.08,hulkbuster,Maerceci,0-1,1824,1804,D02
Rated Bullet game,2019.08.08,Maerceci,skd98,1-0,1813,1814,D11
Rated Bullet game,2019.08.08,Quisqueyano,Maerceci,1-0,1825,1795,D30
Rated Bullet game,2019.08.08,Maerceci,Quisqueyano,1-0,1804,1815,A40
Rated Bullet game,2019.08.08,Quisqueyano,Maerceci,0-1,1805,1814,D30
Rated Bullet game,2019.08.08,sanjosesam,Maerceci,1-0,1815,1793,C00
Rated Bullet game,2019.08.08,Maerceci,sanjosesam,1-0,1803,1805,E90
Rated Bullet game,2019.08.08,Quisqueyano,Maerceci,1-0,1815,1814,D30
Rated Bullet game,2019.08.08,Maerceci,kilimanjaro9,0-1,2041,1820,A43
Rated Bullet game,2019.08.08,pelta,Maerceci,0-1,1810,1793,C02
Rated Bullet game,2019.08.08,kirollosmasood,Maerceci,0-1,1800,1792,A01
Rated Bullet game,2019.08.08,Maerceci,tlam,0-1,1866,1809,A84
Rated Blitz game,2019.08.08,Maerceci,alvarotr,1-0,1916,1806,D30
Rated Bullet game,2019.08.08,Maerceci,Murtaza93,1-0,1935,1795,A40
Rated Bullet game,2019.08.08,Maerceci,marceloxd,1-0,1761,1785,D30
Rated Bullet game,2019.08.07,mrhyde01,Maerceci,1-0,1797,1743,A00
Rated Bullet game,2019.08.07,jarczar,Maerceci,1-0,1806,1814,D00
Rated Bullet game,2019.08.07,Maerceci,jarczar,1-0,1824,1795,A40
Rated Bullet game,2019.08.07,daltonhe,Maerceci,0-1,1779,2025,D00
Rated Bullet game,2019.08.07,achi007,Maerceci,0-1,1769,1760,C00
Rated Bullet game,2019.08.07,Maerceci,mAyPk1907,1/2-1/2,1771,1769,D30
Rated Bullet game,2019.08.07,dfrezell,Maerceci,0-1,1761,1691,C00
Rated Bullet game,2019.08.07,Maerceci,dfrezell,1-0,1700,1753,D30
Rated Bullet game,2019.08.07,Rafacaco,Maerceci,0-1,1743,1731,C00
Rated Bullet game,2019.08.07,sansboi,Maerceci,0-1,1732,1757,D02
Rated Bullet game,2019.08.07,Maerceci,mijusira,0-1,1865,1739,D07
Rated Bullet game,2019.08.07,Maerceci,Prefetcher,1-0,1653,1731,A43
Rated Bullet game,2019.08.07,Artboard,Maerceci,1-0,1741,1710,C01
Rated Bullet game,2019.08.07,Maerceci,damianbenitezz,1-0,1707,1732,D06
Rated Bullet game,2019.08.07,Simon1800,Maerceci,1-0,1743,1711,C10
Rated Bullet game,2019.08.07,Maerceci,DanielQQQ,0-1,1605,1757,A40
Rated Bullet game,2019.08.07,exscelsior,Maerceci,0-1,1745,1787,C01
Rated Bullet game,2019.08.07,maryam-1365,Maerceci,1-0,1752,1863,C00
Rated Bullet game,2019.08.07,Maerceci,zumzum1,1-0,1643,1745,D06
Rated Bullet game,2019.08.07,Maerceci,hangman123,1-0,1756,1734,D07
Rated Bullet game,2019.08.07,onemorechance,Maerceci,1/2-1/2,1735,1705,C00
Rated Bullet game,2019.08.07,Maerceci,Andrewwel,0-1,1753,1745,D43
Rated Bullet game,2019.08.07,Mlody87pl,Maerceci,1-0,1758,1630,A11
Rated Bullet game,2019.08.07,Maerceci,ASLongAsYouLoveMe,1-0,1762,1748,A43
Rated Bullet game,2019.08.07,Andrewwel,Maerceci,0-1,1737,1754,D00
Rated Bullet game,2019.08.07,equinox772,Maerceci,0-1,1729,1653,D37
Rated Bullet game,2019.08.07,Maerceci,Ham2700_The_great,0-1,2021,1733,D30
Rated Bullet game,2019.08.07,AleMore11,Maerceci,1-0,1742,1773,C08
Rated Bullet game,2019.08.07,Maerceci,SuperFilka,0-1,1720,1752,A53
Rated Bullet game,2019.08.07,Spartakiller1,Maerceci,1-0,1760,1857,C00
Rated Bullet game,2019.08.07,Maerceci,stylod,0-1,1754,1770,D37
Rated Bullet game,2019.08.07,Maerceci,PiecesExterminator,0-1,1783,1780,D11
Rated Bullet game,2019.08.07,Ahmed_7777,Maerceci,0-1,1770,1765,C00
Rated Bullet game,2019.08.06,Ylajali,Maerceci,1-0,1778,1831,C00
Rated Bullet game,2019.08.06,Maerceci,BlLabel,0-1,1835,1787,A40
Rated Bullet game,2019.08.06,Maerceci,samirkasparov,0-1,1841,1795,E90
Rated Bullet game,2019.08.06,Alojzijus,Maerceci,0-1,1785,1800,D00
Rated Bullet game,2019.08.06,Cedric_O,Maerceci,1-0,1796,1760,A01
Rated Bullet game,2019.08.06,ratid,Maerceci,1-0,1805,1846,D02
Rated Bullet game,2019.08.06,chess_pendik,Maerceci,1-0,1813,1856,D35
Rated Bullet game,2019.08.05,Maerceci,dolpin09,1-0,1994,1798,D43
Rated Bullet game,2019.08.05,Gend0lf,Maerceci,0-1,1791,1694,C01
Rated Bullet game,2019.08.05,Maerceci,atas96,0-1,1818,1800,D06
Rated Bullet game,2019.08.05,Maerceci,zex535,1-0,1710,1792,A43
Rated Bullet game,2019.08.05,Maerceci,MyKingFalls,1-0,1819,1781,D30
Rated Bullet game,2019.08.05,tarzanillo,Maerceci,1-0,1789,1852,C02
Rated Bullet game,2019.08.05,Maerceci,FonoyMaster,1-0,1643,1783,D20
Rated Bullet game,2019.08.05,pataston,Maerceci,1-0,1791,1850,C01
Rated Blitz game,2019.08.05,Mango69,Maerceci,0-1,1793,1835,A13
Rated Bullet game,2019.08.05,Maerceci,nf3nf6,1-0,1814,1780,D30
Rated Bullet game,2019.08.01,Maerceci,juzanewbie619,0-1,1679,1793,A40
Rated Bullet game,2019.08.01,juzanewbie619,Maerceci,0-1,1786,1686,A06
Rated Bullet game,2019.08.01,Maerceci,juzanewbie619,1-0,1694,1778,A43
Rated Bullet game,2019.08.01,bgtyhn,Maerceci,1-0,1784,1948,C11
Rated Bullet game,2019.08.01,Anthonio123,Maerceci,0-1,1776,1700,A00
Rated Bullet game,2019.08.01,Maerceci,Ferpof,1-0,1799,1765,E60
Rated Bullet game,2019.08.01,ReyRol,Maerceci,1-0,1774,1785,C00
Rated Bullet game,2019.08.01,Maerceci,ChrisMoody,1-0,1703,1766,E90
Rated Bullet game,2019.08.01,Kalathras_Fyte_V,Maerceci,0-1,1755,1771,D37
Rated Bullet game,2019.08.01,I_can_and_you_will,Maerceci,0-1,1747,1703,C00
Rated Bullet game,2019.08.01,Maerceci,raymdw,1-0,1744,1736,A40
Rated Bullet game,2019.08.01,dalianasser363,Maerceci,1-0,1744,1805,B01
Rated Bullet game,2019.08.01,goxu_a,Maerceci,1-0,1753,1773,C00
Rated Bullet game,2019.07.30,Maerceci,Justican,1/2-1/2,1769,1753,D30
Rated Bullet game,2019.07.30,ge-ju,Maerceci,1-0,1764,1717,D30
Rated Bullet game,2019.07.30,Maerceci,ge-ju,1-0,1726,1755,D13
Rated Bullet game,2019.07.30,ge-ju,Maerceci,0-1,1745,1736,D30
Rated Bullet game,2019.07.30,Maerceci,ge-ju,1-0,1746,1734,D13
Rated Bullet game,2019.07.30,ge-ju,Maerceci,0-1,1723,1757,D30
Rated Bullet game,2019.07.30,Maerceci,sirezekiel,0-1,1836,1730,D70
Rated Bullet game,2019.07.30,Maerceci,volkanov1234,0-1,1731,1741,A40
Rated Bullet game,2019.07.30,liorbialik,Maerceci,0-1,1730,1730,A01
Rated Bullet game,2019.07.30,Looma,Maerceci,0-1,1720,1730,C00
Rated Bullet game,2019.07.30,Maerceci,Looma,1-0,1741,1709,D30
Rated Bullet game,2019.07.30,Looma,Maerceci,1-0,1719,1731,C00
Rated Bullet game,2019.07.30,Maerceci,SofiaNeisser,0-1,1726,1729,A52
Rated Bullet game,2019.07.30,Maerceci,Bohomol4ick,1-0,1662,1720,A43
Rated Bullet game,2019.07.29,Maerceci,gualterovisk,1-0,1697,1711,E60
Rated Bullet game,2019.07.29,billyard,Maerceci,0-1,1703,1629,C00
Rated Blitz game,2019.07.27,Maerceci,chesslife2018,1-0,1758,1782,D91
Rated Bullet game,2019.07.27,Maerceci,garys42,1-0,1680,1693,E21
Rated Bullet game,2019.07.27,slimmanu,Maerceci,0-1,1685,1619,E18
Rated Bullet game,2019.07.27,Solrakj23BR,Maerceci,1-0,1695,1704,D00
Foltys Arena,2019.07.27,Maerceci,Zumbito,0-1,1975,1698,D91
Foltys Arena,2019.07.27,Maerceci,Sebascr,0-1,1621,1710,D38
Foltys Arena,2019.07.27,RichieJarquin,Maerceci,0-1,1700,1704,D30
Foltys Arena,2019.07.27,Sebascr,Maerceci,0-1,1692,1628,C18
Foltys Arena,2019.07.27,Maerceci,Sarcastrophe,0-1,1804,1699,D35
Foltys Arena,2019.07.27,JorgePerezGX,Maerceci,1-0,1700,2262,D00
Foltys Arena,2019.07.27,Maerceci,JeremyVillegas,0-1,1647,1712,D35
Foltys Arena,2019.07.27,Maerceci,Krikrimon,1-0,1822,1698,A40
Foltys Arena,2019.07.27,erickjrg11,Maerceci,0-1,1691,1585,C02
Foltys Arena,2019.07.27,RichieJarquin,Maerceci,1-0,1701,1703,D37
Rated Bullet game,2019.07.26,SushantKamble98,Maerceci,0-1,1690,1712,D00
Rated Bullet game,2019.07.25,Maerceci,almoniapalonia,1-0,1658,1681,D08
Rated Bullet game,2019.07.25,mallorcaking,Maerceci,1/2-1/2,1682,1651,D05
Rated Bullet game,2019.07.25,Maerceci,Kronos8,1-0,1570,1674,E11
Kavalek Arena,2019.07.25,Maerceci,mecuelgalapieza21,1-0,1846,1767,D70
Kavalek Arena,2019.07.25,Maerceci,Deliany,1-0,1687,1757,E90
Rated Bullet game,2019.07.24,Maerceci,Filouch,0-1,1669,1685,A40
Rated Bullet game,2019.07.24,Filouch,Maerceci,0-1,1675,1679,C00
Rated Bullet game,2019.07.24,Thanos2049,Maerceci,0-1,1668,1540,A10
Rated Bullet game,2019.07.24,Maerceci,gahah,0-1,1701,1677,A40
Rated Bullet game,2019.07.24,Marckony,Maerceci,0-1,1667,1672,D00
Rated Bullet game,2019.07.24,Maerceci,JahongirAminov,0-1,1709,1676,A40
Rated Bullet game,2019.07.24,JahongirAminov,Maerceci,1-0,1686,1699,A00
Rated Bullet game,2019.07.24,Maerceci,JahongirAminov,1-0,1710,1674,A40
Rated Bullet game,2019.07.24,kefirAnanas,Maerceci,1-0,1684,1690,D00
Rated Bullet game,2019.07.24,Maerceci,Guliaka,1-0,1749,1672,E60
Rated Bullet game,2019.07.24,Maerceci,gp18,0-1,1681,1682,D30
Rated Bullet game,2019.07.24,Codyyy6,Maerceci,1-0,1693,1662,D38
Rated Bullet game,2019.07.24,matsuoka1,Maerceci,0-1,1683,1668,C11
Rated Bullet game,2019.07.24,Maerceci,HorremCupJunge,1-0,1696,1672,D30
